COMMENTS,"LANGUAGE (E, F, or N)",OFFENSIVE (Y or N),EMOTION,"Hard to annotate?
(Y or N) ","Name o link? 
(Y, L or N) ",
"Kailangan gayahin ang ginagawa sa Japan, may cooperative na may insurance pa sila. Kung masira man ng bagyo o sakuna ang kanilang pananim ay hindi sila malugi dahil insured ang kanilang pananim.",F,N,None,Y,Y,
Bullshit the Philippine [NAME]..they want to help poor people,F,Y,Anger,N,Y,
sana may mag sponsor...at tsaka...pag maayus na mukha nya may totoong magmahal di lang...mahalin na sya kasi naayus na mukha niya,F,N,Sadness,N,N,
We should respect the gays too.....we should love them.....they are not toy.....the gay in this video is such a good person,E,N,Sadness,N,N,
Tsaka palakihin nyu sahod para wala na mag abroad,F,N,Anger,N,N,
bless bless po [NAME] and [NAME] . good samaritan ka po,E,N,Joy,N,N,
[NAME] tulungan nio po cya maoperahan #[NAME] [NAME]kabait at buti nia po tayo at [NAME]kaganda din po nia. Deserve nia po gumanda lalo dhil [NAME]kaganda ng puso nia po.,F,N,Sadness,N,N,
Mas lalong mawawala yung puno na yan. Naku Mareng [NAME]. 🤦🏻‍♀️ Save the tree isipin nyo ilang years yan bago naging puno.,F,N,Anger,N,N,
Dapat mamigay ang [NAME] ng mga punla nian,F,N,Anger,N,N,
Yung ina yung pabaya dyan. Kainis. Di nmn mangyayare yan sa kambal kung di pabaya yung ina. Tssk,F,N,Anger,N,N,
"kasi naman tong mga lalaki ginagamit lng mga ""beke, tao rin yan nakakaramdam.",F,N,Anger,N,N,
"Pwede na rin cguro bansagang ""Snake Island"" ang [NAME]. Maraming ahas pala dyan....",F,N,Anger,N,N,
Kaya Hindi umaasenso Ang [NAME],F,N,Anger,N,N,
Like this! Kung gusto niyo makapag turo ulit si [NAME].😊❤️,F,N,Joy,N,N,
O. M. G.... D q kinaya.! C Kuya..  Grabeh..  Aatakihin aq nang epilipcy.. Hahahha..,F,N,Surprise,N,N,
"Patay kayo dapt kasi dina kayo ng pa cover jan? . 
Sa [NAME].",F,N,Anger,N,N,
papatayin ko yong babae no yun a,F,N,Anger,N,N,
Ngkakamot k dn b ng ulo habang pinapanuod to? 😂,F,N,Joy,N,N,
Nakkatakot nman yan,F,N,Fear,N,N,
My ever teacher... Reyah here... hope he’s getting well... kudos! to Safe Haven and to Sir [NAME]... hoping to do a collab soon... together with my teacher [NAME],E,N,Joy,N,Y,
"Nakakadiri grabe d ko kakayanin lalo na yung bulate nakaka suka nayun grabe,",F,Y,Disgust,N,N,
Peace be with you,E,N,Joy,N,N,
Yuck talaga d q kinaya ...,F,Y,Disgust,N,N,
Plot twist: the snake was a paid actor,E,N,None,N,N,
these serpents were already defang.,E,N,None,N,N,
"Plot twist
Deretso sa cr kasi masakit tiyan",F,N,None,N,N,
Kawawa Naman Sana gumaling na sila🙏🙏,F,N,Sadness,N,N,
Pag sya na surgery for sure # 1 trend na nman ang #[NAME] let's just hope na nabigyan sya chance to show her outside beauty,F,N,Joy,N,N,
Meron pa nyan paneke,F,N,Disgust,N,N,
", ,yan ung gingamit n ensenso d2 sa [NAME] , ,kaloka sobrang mahal pla yan ,",F,N,Surprise,N,N,
D manlang kinutohan ng magulang.lipstick pa atupaga nay.,F,N,Anger,N,N,
[NAME] bless po ate [NAME],E,N,Joy,N,N,
Dapat ini isip talaga ni [NAME] lahat bago sha gumawa para wlang gulo!,F,N,Anger,N,N,
Bigyan natin mga ito mga daga 😂🤣,F,N,Joy,N,N,
imong mama matapang,N,N,None,N,N,
Tong [NAME] dpat ginantihan Mo Ung Lalaki,F,N,Anger,N,N,
Ang bait nman ni teacher 😊 buti pa sya di nandiri sa ulo ng kambal 👍 walang gloves na gamit...,F ,N,Joy,N,N,
Hay nako kung part siguro ako sa team tapos dito ako na assign baka mag resign ako agad agad bahala na hahahahaha,F,N,Joy,N,N,
May alaga pa syang pusa cute,F,N,Joy,N,N,
[NAME] bless pagaling po,F,N,Joy,N,N,
bwal iyan mga buhay kadiri,F,Y,Disgust,N,N,
Kawawa nman sya,F,N,Sadness,N,N,
sana matulungan sya ng mga mabubuti puso excitednko mgng kalalabasan ng itsura nya🥺,F,N,Sadness,N,N,
You are very lucky [NAME] because [NAME] never leave you [NAME]lovesyou🙏🏻,E,N,Joy,N,N,
Baka siya yung susi sa covid baka yung dugo niya ang vaccine,F,N,Joy/Sadness,N,N,
Jusmeyo pag kumati panga lang ulo ko suyod agad eh. Grabi naman yan dapat naagapan agad my shampoo naman pang tanggal ng kuto eh,F,N,Disgust,N,N,
Pabaya yun nanay nila. hindi na kayo naawa sa mga bata. hinayaan nio maging ganyan un ulo nila. mga kamag anak wala din concern . tsk. tsk. tsk.,F,N,Sadness,N,N,
"pwede naman sigurong mag tanim at mag punla ng mga agarwoods, para mapadami pa ito tsaka hindi rin mapipigilan ang mga pilipinong mag benta at mag putol ng agarwoods dahil sa kahirapan....",F,N,Sadness,N,N,
How about plant more and wen u destroy one u plant 10,E,N,Anger,N,N,
Descendant of Salazar Slytherin 🐍,E,N,None,N,N,
Best episode ever,E,N,Joy,N,N,
[NAME] bless nakaka iyak ka pero wag Kang mawawala. Ng pag Asa cha,F,N,Sadness,N,N,
Isusurender ko ng bestie sa [NAME].🐍,F,Y,Joy,N,N,
"cute mo bibi,, pero i wish maalgaan mdisiplina sa food ,, mhirap gutumin bata, sana mtygaan doble ng fam  nya,, [NAME]bless po sa fam u",F,N,Joy,N,N,
Kahit mahirap tayo ..huwag Naman po Sana ganyan humingi nalang Sana kayo ng tulong sa LGU😭,F,N,Sadness,N,N,
"Kaya nakakatakot magmahal, baka mapunta ka sa maling tao",F,N,Fear,N,N,
Kaero man [NAME]!😥 nagmahal lang talaga sya ng todo. Mali ginawa nya pero we are humans after all. Very sad for [NAME].😭,F,N,Sadness,N,N,
ano po pala  nangyare sa kamay ni kuya [NAME],F,N,Sadness,N,N,
And what is it about to do on a honey in the video?? Lol agar wood ang subject but may honey syrup clip??,E,N,Anger,N,N,
Rey Valera kahawig,F,N,Joy,N,Y,
Ano kain pa more baboy hahahaha😂🤣😂😂🤣😏😏😏,F,N,Joy,N,N,
[NAME]bless kuya [NAME],E,N,Joy,N,N,
Si [NAME] na ahas din kamakailan lang..,F,N,Fear,N,N,
Only in the ph! Bawal yumaman ang mahihirap.. dapat ang mayaman lang ang yumayaman,F,N,Anger,N,N,
mentality nga naman ng pilipino! since alam niyo na pala [NAME] na endangered specie na ang agarwood baka naman pede magsagawa kayo ng tree planting. tsk tsk!!!,F,N,Anger,N,N,
Grabe nasuka ako🤮🤮🤮,F,N,Disgust,N,N,
Yuck kadiri amp,F,Y,Disgust,N,N,
adik yata to  eh..yak..,F,Y,Disgust,N,N,
Yuck mamatay ka nyan sa microbyo,F,Y,Disgust,N,N,
He is truly a wisdom..[NAME] bless you [NAME] 🙏🏻,E,N,Joy,N,N,
Daghang Salamat [NAME] and Safehaven. [NAME] bless kuya [NAME]! 😊,F,N,Joy,N,N,
"Canibal sha ba?? 
Natatakot ko eh",F,N,Fear,N,N,
"Revenge won't solve anything..
Well, except for feelings
Bad taos = loves revenge",E,N,Sadness,N,N,
Nakakaawa namn Sana Hindi mangyari samin Yan kailangan Ng dead penalty yan,F,N,Sadness,N,N,
Parehas silang may mali,F,N,Anger,N,N,
"maganda nman talaga sya, kahit ganyan mukha nya may magkakagus2 pa rin jan :)",F,N,Joy,N,N,
Kuto is life😨😱😅,F,Y,Disgust,N,N,
Napabayaan talaga  yan. Kami nga  sampu magkapatid   dalawang beses nagka kambal mama q aq may kambal lalaki  at bunso namin  kambal puro babae pero sa awa ng [NAME] hindi kami nakaranas ng ganyan...,F,N,SAdness,N,N,
Pray for [NAME],E,N,SAdness,N,N,
Eueuwieurywufeor,N,N,None,N,L,
2:40 napalundag ako😢,F,N,Sadness,N,N,
"Tulungan nyo mam [NAME],kasi kumikita naman kayo.wag nyo papaasahin ang bata.",F,N,Sadness,N,N,
Buwiset ka kumareng [NAME] hindi mo sinabing bigla na lang syang manunuklaw hahahaha,F,N,Joy/Surprise,N,N,
Naka medal pag igsoon niya,N,N,None,N,N,
"magaling talaga si dok
gumawa ng sariling disease
name",F,N,Joy/Anger,N,N,
napaka basic lang idol...,F,N,Joy,N,N,
Kayabangan ng taong to,F,Y,Anger,N,N,
Edkaluwag wala bayan,F,N,Joy,N,Y,
"The gay was very wrong, but he was just blinded and fooled by a false emotion towards that man. Bakit kasi ayaw nalang makontento? Mahirap ba yun?",E,N,Sadness,N,N,
grabeh grabeh😯😯😂,F,N,Disgust,N,N,
Wow Grabe si boy tapang,F,N,Surprise,N,Y,
Kaya yan magamot,F,N,Joy,N,N,
Sana MA operahn na sya,F,N,Sadness,N,N,
Sa [NAME] bookhor ang tawag jan,F,N,Joy,N,N,
Bat po genon ang isa nya mong daliri?,F,N,SAdness,N,N,
Puro paganda yung nanay nakalimutan ang mga anak,F,N,Anger,N,N,
ang cute and ang bait ni arby! sana matulungan siya. saludo pa din ako sa pamilya nya dahil sobrang tutok sila kay arby kahit papaano.,F,N,Joy,N,Y,
Baka maging cause ka pa ng panibagong virus. Tsk.. marami naman jan pagkakakitaan para may makain. Hindi ganyan,F,N,Fear,N,N,
Kawawa nmn cla masyado mdami kc mga corrupt mga walang awa sa mga tao,F,N,Sadness,N,N,
Hindi aq maarte pero nasusuka n aq dto s panonood nato,F,N,Disgust,N,N,
subukan mo naman paamohin si Bessy...,F,N,Joy,N,N,
Buti di nanunuklaw,F,N,Fear,N,N,
Ano b yan panget nmn yan pati sariling tanim s lupa mo huhulihin ka,F,N,Anger,N,N,
Baklang to nakakabweset,F,Y,Anger,N,N,
Huhulihin nila tpos sila makikinabang na mga pulis lol kayo ingit lang kayo gsto nyo kayo yomaman,F,N,Anger,N,N,
"Gusto sana umasenyo ng mahihirap lalong naghirap pati matanda pambili saana ng gamot dinakip pa kawawa naman yong matanda  
Nakakatakot naman to 😔😔", F,N,Sadness,N,N,
"Guys, let's help [NAME]...at 3.5 m viewers kahit half of that mag ambag ng 5 pesos...she can have a new life and will have more confidence in herself. That alone is priceless!",E,N ,Sadness,N,N,
Bakit ang lalaki ng ilong,F,Y,Sadness,N,N,
This girl is beutiful to me ❤,E,N,Joy,N,N,
Pero pag natuto kumain ang mga tao ng insekto baba ang kagutuman sa mundo,F,N,Sadness,N,N,
baka jan na naman mag sisimula ang bagong virus..hahah,F,N,Fear/Sadness,N,N,
"Mukhang mabait si [NAME], ganyan talaga ang buhay laban lang. Kaso mali ung aksyon nya na kaylangan nyang harapin.",F,N,Sadness,N,N,
"Grabi, iilan lang ang kahoy na yan  , grabi naman [NAME] na yan,",F,N,Sadness,N,N,
Salamat [NAME] soho,F,N,Joy,N,N,
"marami talaga ahas sa [NAME], sa antequera ibang ahas din meron sila kasi nanghahabol, nakakatakot. baka sira na ang bahay nila sa ilalim kay naglalabasan. 🙄🙄🙄",F,N,Fear,N,Y,
🤬 [NAME]. KINUKURAKOT NIO LANG YAN.,F,N,Anger,N,N,
Labas na yng mga bilyonaryo at mayyaman dyn..give her a chance please..🙏🙏💰💰💰 help her..,F,N,Sadness,N,N,
Exoticacorona virus hahahahaha yan new virus pag Na kita mo si boy tapang layu Na kayu ok,F,N,Joy,N,Y,
Wsg snaa tayng manghusga.maganda naman tlaga sya kung d lng ung left cheeks nya..sa mundo ang mga mata ng mga tao mapanghusga at ang bibig ay mapanglait,F,N,Sadness,N,N,
Sa mga nag block sa kaniya pag nakikita ying tunay na mukha .. who you kayo,F,N,Anger,N,N,
kung nakatanim sa lupain bkt po bawal. 🙄,F,N,Sadness,N,N,
Dapat malaki. Huuuu nubayan! Joke 😅✌🏽,F,N,Joy,N,N,
Basura nanay neto hahaha mukang okay lang siya? Di niya man lang nabilhan ng gamot hahahaha mother of the year,F,Y,Joy,N,N,
Ay naku pag eto nagmula ng bagong virus yari [NAME] .,F,N,Fear,N,N,
Pangatong lang to sa probinsya namin eh,F,N,Joy,N,N,
Besik Lang haha🤣,F,N,Joy,N,N,
BBQ na sawa hahahaha ay hindi pala BBQ cremated pala ahhahaha,F,N,Joy,N,N,
"Naawa naman ako sa gay nag mahal lang sya pero mali parin ginawa nya,haissst,iba talaga ang nagagawa ng pag ibig or pagseselos😢",F,N,Sadness,N,N,
"Ito ang paraan ng pagpapatubo ng buto ng lapnisan or agar tree
https://www.youtube.com/watch?v=emBWot7LM8w&feature=share",F,N,None,N,L,
I am happy on how they really rescued [NAME] from physical and mental health. He looks normal now as well as his mental health❤️❤️ really happy for [NAME] and his family.,E,N,Joy,N,N,
Ayy kalako soco yun pala [NAME] soco,F,N,Joy,N,N,
Bakit walang warrant at lahat nang mga pulis hindi naka uniform?,F,N,Anger,N,N,
"Wooohhh yung naghahanda ka ng kakainin mo pero napanood moto🤣🤣🤣
Puchaaah humapdi yung tiyan ko!🤢🤮",F,Y,Joy,N,N,
Na ngangati ang ulo ko!!!,F,N,Anger,N,N,
"ganitong mga content sana pinapa viral ng mga influencers. hindi yung malalaswa, puro prank, at mga toxic na content.",F,N,Joy,N,N,
Jumpscare at 2:43,E,N,None,N,N,
Hayaan nyo lang ahas. Kung wlaang mga ahas. Dadami ang pesteng daga na pinagmumulan ng ibat ibang sakit na nakamamatay,F,N,None,N,N,
ubos nanaman ang kagubatan neto,F,N,Fear,N,N,
Moral lesson kapag may malaking pagkakakitaan wag niyo e featured sa [NAME] mga yawa,F,Y,Anger,N,N,
inggit lang ang [NAME] kaya na hinuhuli hahahaha,F,N,Joy,N,N,
Diosko po nasan ang nanay ng mga batang to..nung bata ako nd tinitigilan ng nanay ko ang ulo ko kaht wala na makuha..,F,N,Sadness,N,N,
Tumatayo balahibo ko sa pisnge,F,N,Fear,N,N,
"minsan, everyday.",F,N,Joy,N,N,
Dapat hindi ipagbawal para ganahan ang mga tao magtanim. Baka nga naman makulong pa sila pag inani na  ang puno pag lumaki na.,F,N,Sadness,N,N,
Nkakatakot nman !,F,N,Fear,N,N,
😂😂😂😂😂 galing mag hugot,F,N,Joy,N,N,
Mabubuhay din naman ako ng mapayapa ng wlang mga ahas... [NAME] ko....,F,N,Joy,N,N,
"""BASTA ANG IMPORTANTI,MAHALAGA""",F,N,Joy,N,N,
"Hellow ,,,,naku po,,, di magtanim sa sariling lupa,,,,bakit pakiki alaman pa ba ng [NAME] kahit pagmamay ari mo? Anu gusto nila cla lng ang yayaman? [NAME] talaga!!!!",F,N,Anger,N,N,
*PAANO NA KUNG SARILI MONG LUPA NAKATANIM ANG AGAD WOOD??? ILEGAL PA DIN BA??*,F,N,Anger,N,N,
Totoo nga Ang kasabihan na nasa huli Ang pag sisi kaya dapat pag isipang mabuti bago gawin,F,N,Sadness,N,N,
Sana ma operahan na sya,F,N,Sadness,N,N,
"Marami Yan smin sa probinsya,Ang katas nyan umaapoy nga, Yan nga panggamit namin sa pagpapaapoy",F ,N,Joy,N,N,
https://youtu.be/zcplZ3Q4r50,N,N,None,N,L,
Kinuha daw ni froni ung sakit nya..kagagohan 🤣...di ba pwedeng c [NAME] ang nagpagaling??????,F,Y,Joy,N,N,
Hayop nagulat aq 🤣🤣🤣😂😂,F,Y,Surprise,N,N,
Di naman rason na walang ayuda at makain. Pwd ka kumain ng kamote or talbos..tanim sa paligid..wag po tayo umasa sa ayuda kesa pinagkakain mo. 🤮🤮🤮,F,N,Disgust,N,N,
Ms [NAME] soho baliw na tao yan please ipadala nyo na sya sa mars,F,Y,Anger,N,Y,
Si hipon girl ba to?,F,N,Joy,N,N,
Kakadirinaman nayn,F,Y,Disgust,N,N,
Ka boses ni digong si se[NAME]i ah hehe.yung png 2 ahas kahit sya mkagat wala nmn lason un kasi sawa un engot..my mga bagay n hindi prin mapaliwanag ng science..kung anting yn kahit si einstein nd alm un,F,Y,Anger,N,Y,
Maganda naman sya😊😍,F,F,Joy,N,N,
"Eto dapat pinag aaksayahan ng pera sa pag paparetoke ng mukha. kesa kay Xander Ford na rapist. Sana matulungan nyo umayos mukha nya, gaya ng ginawa nyo kay Xander Ford na hambog.",F,Y,Anger,N,Y,
Baga gosto din nilang yumaman,F,N,Anger,N,N,
Paano naman kung pinag hirapan monb itanim at mag antay ng ilang taon?  Mga pinoy nga talaga mga seloso walang ibang ginawa  kun di makialam ng buhay na may buhay.,F,N,Anger,N,N,
"Bakit ibawal eh di Naman mauubos Yan madami Naman mag tatanimyan. Ayaw nyo umasinso mga Tao hayz
Di mauubos Ang puno agad nyo ipag bawal grabe Naman pinoy",F,N,Sadness,N,N,
Bwiset pala ung lapnisan na iyan  Kung mag tatanim ka bi bilang ng taon n aalagaan  bawal putulin o anihin  para ka pala mag tanim ng Sana ng loob.,F,N,Anger,N,N,
Nagmahal nasaktan.. Nakulong. Hahaha,F,N,Joy,N,N,
